market_id,timestamp,yes_probability,no_probability,volume
m1,2025-01-03T00:00:00Z,0.52,0.48,500
m1,2025-01-07T00:00:00Z,0.56,0.44,1000
m1,2025-01-09T21:00:00Z,0.60,0.40,2000
m1,2025-01-10T15:00:00Z,0.64,0.36,2500
m2,2025-01-06T00:00:00Z,0.40,0.60,10
m2,2025-01-15T10:00:00Z,0.42,0.58,10
m3,2025-01-25T00:00:00Z,0.50,0.50,500
m3,2025-01-29T21:00:00Z,0.51,0.49,1000
m3,2025-01-31T21:00:00Z,0.54,0.46,1500
m3,2025-02-01T20:00:00Z,0.55,0.45,900
m4,2025-02-04T00:00:00Z,0.52,0.48,200
m4,2025-02-09T12:00:00Z,0.50,0.50,300
m4,2025-02-10T11:00:00Z,0.30,0.70,400
m5,2025-02-16T00:00:00Z,0.20,0.80,0
m5,2025-02-20T20:00:00Z,0.80,0.20,0
m6,2025-03-03T00:00:00Z,0.51,0.49,500
m6,2025-03-07T21:00:00Z,0.50,0.50,1000
m6,2025-03-10T20:00:00Z,0.48,0.52,1500
